address,block,validity,multisig,option,importance
NDE5DHZ34CAVBAEO5WEHRK7OM7KBJQ76OGS455AC,1536263,Valid,false,yes,0.000018036972645871625
NAXCGEEMWLZHL63WYXMJXA2Q6MD6NXFXEEBC3GRZ,1536232,Valid,false,yes,0.000009428936844645525
NATM7PLRPD77NA4Z76XFL6NALOEYR2EVJA74NSSB,1536224,Valid,false,yes,0.000011701812523566904
NC7N7ISZMGMJ4LIYFYVGX2WT4RC63SYMCJR62JKW,1536182,Valid,false,yes,0.000010993091526568808
NA3XMHR3JYGJ7K2UDJD2TWQCIGTG353MRQFHAEXY,1536158,Valid,false,yes,0.000010196071168930572
NB6B4D3SXWALYHLDNB7VTX4KS7TLRGHCIZO6LWLK,1536105,Valid,false,yes,0.000011249964274957886
NDC2YO3QDVI22TGQ554EQJSLRWNIAOONOHUEVP6E,1536092,Valid,true,yes,0.000009603669094176553
NBPSD2TJSVRM5W73GCDFS52HBBW4YOTA57DXSJGZ,1536084,Valid,false,yes,0.000009802099519355898
NDEZD4MFZKNIWWOV3FICUGKCXOBR7GKC5UASQEKN,1536082,Valid,false,yes,0.00016554293858513517
NCTECB7VIC3RQ5A7VNYJTZN7RGGDQLDRRVDCZHD2,1536080,Valid,false,yes,0
NDAKKARBWOCSRX6TKZER2G6YLCJZ753NUTNPYYIR,1536071,Valid,false,yes,0.0003115443735099784
NAOLIVENEXCVSMUUGYHAPGN43QKHXYX5QGYAZ7AY,1536068,Valid,false,yes,0.00030954593148659054
NAFUN57LGM45OSXUXNDD6O35PVF4UBBPGJW546QT,1536068,Valid,false,yes,0.00031640028456346653
NAFUN44Y33Q2VAGUVS4BOADH6BW3JJZ7KJAEAZCN,1536062,Valid,false,yes,0.0003166248419646796
NAFUN3XCQY6GMJHDESPYX4V6W7E2IHW4JWET26V3,1536062,Valid,false,yes,0.00031693291714886675
NAFUN2FJGCFHI2QS4H6DDHIPQJEEAAHU2DVY5NE7,1536062,Valid,false,yes,0.000316980977427678
NAFUNDZWDMSOOFL4DUGB5GFNR34NCEOUOMTJ4UEB,1536062,Valid,false,yes,0.000317253230029203
NCDHYPQDGDDVHXE5KC2DOBZ5BZFLIZVJO4DPOUHO,1536021,Valid,false,yes,0.000009435403420344907
NBJQEJDPCAWNJVWZUFGJFYOHSZS2GI7NLP45S5Z4,1535834,Valid,false,yes,0.000024008042961303133
NDZUNCUUCPDB7MMAR2GPC7O5CPEQ3YKF63JRI73T,1535829,Valid,false,yes,0
NAIYUDFG3FEANOOOEJ6IDUIDRZ2UWYEQKL6XFU2D,1535743,Valid,false,yes,0
NAHFG4WLX5TXOQV7IQ4B3GQ6UMUJAMF7HBZ2X7KC,1535680,Valid,false,yes,0.000018849732846020514
NALAV4EXSE3Q3ECJDJ2YN4WMPX2GCJOGDRGI4DZZ,1531755,Multiple Vote,false,yes,0.00031475754125672833
NCPA2OECCHL62DAL2Q3SH4XZ7QTOZZBSOQYGSOVO,1535654,Valid,false,yes,0.000010568195550674567
NDM2YNKDNLUTCNMSTJEDH4OW6ZA3ORBH4PF7JQK7,1535589,Valid,false,yes,0.000009598362542788024
NDD5KAHPE3CKHPXQ7W5VAQUQLSLUFBHWTWMGBO2F,1535496,Valid,false,yes,0
ND763QTLTYX3JDZBALC3D5PIKK63E7THY6ZJR73D,1535243,Valid,false,yes,0.0002771476447746606
NCEL264LKQYYOKOEYHURQFYIDRDS3HOL4CPNNP2N,1535229,Valid,false,yes,0
NCU6YRC2FMCGMKBQSUGSF6MM3YRZGFVYB6UC5C7J,1535196,Valid,false,yes,0.00011139505374652713
NDNX2ZFGVP4CZZZWNKQ4ONRWECHIACRFTMVPBSMG,1532077,Multiple Vote,false,yes,0.0002103424209112897
NCISQR2CSGPHYQE5GKXBL7CSOSRVWDKNJEMP75XM,1535068,Valid,false,yes,0.000014132205873560998
NBFGZVUQBXJOMDKHX5LDZRYEOKNEZI5YBFZ7W36E,1535008,Valid,false,yes,0
NCE75CS7HJ4UGILB3BJRI7YQ5Y77Y5457KEZV6D5,1535003,Valid,false,yes,0.00000996088339867028
NAMG6GTJUDKT3XOBTM6V557Z2VVEE6S3QR42XBAU,1535002,Valid,false,yes,0.00001033528264624405
NDCOU5TUG6YPBNCG3NX5IGGUB66C4RHUZ3UGO6I5,1534990,Valid,false,yes,0.000009473904571878653
NAENFY2NZ4PIPFLXTISC4FO4ZY4LRPMP7IV2G7AX,1534964,Valid,false,yes,0.000023890688691496396
NDDFJTVKUOCGNBM7W5777ARM2D4CZ4SMBBRBKV7Q,1534959,Valid,false,yes,0.00031549539155889094
NB57RRYR4DRN5HSWJ5CZFLO7PTVKYMAQZSTV2VJ2,1534880,Valid,false,yes,0.00031787036229018114
NCBGZJQUBRHRTOQNORLQ24RJFFZTY5KC5TKTDAWI,1534880,Valid,false,yes,0
NCZALY7IJWZNCM2Y6LDPQ3RM3E7OXF62XLOE36VZ,1534859,Valid,false,yes,0
NCY77PCQQ5QFFBEMG2A53KAVYR5C2PVZRKZGAZPZ,1534855,Valid,false,yes,0
NBZIWD2DBD2Q6HNZZKE6N3T2PF2APJX7QBMVGY3B,1534831,Valid,false,yes,0
NBSPCEVJA7VWRG3XLC2KOF6P5R6OB5RMVJAIEYTV,1534798,Valid,false,yes,0
NC2PZMRQXNPLIYN2IOVEEY2O4QC6XJPLAQJM5QJ5,1534749,Valid,false,yes,0.000010038631246157694
NB7R4Y6POLNP5ZJGDBZX47HTHPIUYBI5JP3IUSKO,1534729,Valid,false,yes,0
NDQK24GHP5QLEFOK7JIYEDDKFW43DQ4T2T3LUJNT,1534700,Valid,false,yes,0.00034218645773316145
NDZ4YPCKVKWAIIZBB5T7T5EL67N2XWPQODGGWIYT,1534697,Valid,false,yes,0.0003421690472455353
NCZAOU5MUKEM5O3NQLBWCC5EBSTNOYIZAZTMIL3K,1534697,Valid,false,yes,0.000342031287325197
NCYNM6N456PEZ6TQUQDBEAZJ43QY5AVM4KILLMVK,1534692,Valid,false,yes,0.00003578056104057801
NBS7XDIJIQQWL4FDVIH4YAIK5QUJQF6YH73T4BIR,1534691,Valid,false,yes,0.0003103021076282526
NB5ZWZD3QDKJKYA6FTCWYOHCCGZMP72PN4TOJGAC,1534685,Valid,false,yes,0
NCPMNTJGNSKVAOQJLJCH7BB36N4ALH37LS2XGFHV,1534674,Not a 0xem transaction,false,yes,0
NBXH75RO2RDMT3OSVAO4YARUCQPKURJH4HRUMQ35,1534670,Valid,false,yes,0
NBG5OKBUZ7D5LBE6A7G5RSAJTQV5Y7XFE7E43MMH,1534640,Valid,false,yes,0
NAF7JBGLM5BSHNF643IFPNEOG7YG7AL2VNSSUE5F,1534631,Valid,false,yes,0
NCAE3GXZP6OJHAZT3O66S5AQRUYN537PMBZQE77T,1534624,Valid,false,yes,0
NBU6CKBVOQ6G7WPUVYKLPGAGRI5G562L3HEQTDDI,1534603,Valid,false,yes,0
NAAWTJQDGTLAV4H2W2OMBZJME7YSDIHVT3TEUO66,1534495,Valid,false,yes,0
